"Submission.ID","Common.Name","Scientific.Name","Taxonomic.Order","Count","State.Province","County","Location","Latitude","Longitude","Date","Time","Protocol","Duration..Min.","All.Obs.Reported","Distance.Traveled..km.","Area.Covered..ha.","Number.of.Observers","Breeding.Code","Species.Comments","Checklist.Comments","Type.1","Grid.no","AM.PM","Segment","Habitat","Sal","Mix","Grass","Range","Species.category","valid"
"S35323444","Red-wattled Lapwing","Vanellus indicus",3830,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","06:15 PM","eBird - Casual Observation",NA,0,NA,NA,4,"","","En route after transect","General","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35387479","Red-wattled Lapwing","Vanellus indicus",3830,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","06:15 AM","eBird - Traveling Count",180,1,20,NA,3,"","","Driving from mukhi gate to khatia gate","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35340767","Red-wattled Lapwing","Vanellus indicus",3830,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","06:29 AM","eBird - Traveling Count",229,1,5,NA,5,"","","On safari","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35531443","Red-wattled Lapwing","Vanellus indicus",3830,3,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","06:30 AM","eBird - Traveling Count",180,1,4,NA,6,"","","While doing Safari in the Kanha range, sunny day<br />Submitted from eBird Android 1.0.2","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323849","Red-wattled Lapwing","Vanellus indicus",3830,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","06:52 AM","eBird - Traveling Count",90,1,15,NA,6,"","","Safari. Garima, kailash, . Pintueli, rujuta","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35387468","Red-wattled Lapwing","Vanellus indicus",3830,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","07:00 AM","eBird - Casual Observation",0,0,NA,NA,2,"","","While on Jungle Safari","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35346082","Red-wattled Lapwing","Vanellus indicus",3830,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","09:00 AM","eBird - Casual Observation",0,0,NA,NA,6,"","","species observed during 20th morning jungle safari   Team- Robin C4 & D5 last day jungle Safari","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35364883","Red-wattled Lapwing","Vanellus indicus",3830,2,"IN-MP","Mandla","Phen Wildlife Sanctuary",22.387563,81.084973,"03-18-2017","11:50 AM","eBird - Casual Observation",0,1,NA,NA,2,"","","Phen Sanctuary  Team Bamanimatta  Prayut Mandal  Vinod Thakre    1st phase Sambhardasaan ends here.","General","C13","AM",NA,"Mix 1.0",0,1,0,"Phen","species",1
"S35364883","Red-wattled Lapwing","Vanellus indicus",3830,2,"IN-MP","Mandla","Phen Wildlife Sanctuary",22.387563,81.084973,"03-18-2017","11:50 AM","eBird - Casual Observation",0,1,NA,NA,2,"","","Phen Sanctuary  Team Bamanimatta  Prayut Mandal  Vinod Thakre    1st phase Sambhardasaan ends here.","General","C13","AM",NA,"Mix 1.0",0,1,0,"Phen","species",1
"S35364898","Red-wattled Lapwing","Vanellus indicus",3830,2,"IN-MP","Mandla","Phen Wildlife Sanctuary",22.3877222,81.0321944,"03-18-2017","05:25 PM","eBird - Traveling Count",15,1,0.2,NA,2,"","","Phen Sanctuary  Team Bamanimatta  Prayut Mandal  Vinod Thakre    Had to abandon the transect after 1600mtrs as there was continuous alarm call by a barking deer and grey langoors coming from the direction we were headed.","Transect","C12","PM",9,"Mix 1.0",0,1,0,"Phen","species",1
"S35364900","Red-wattled Lapwing","Vanellus indicus",3830,2,"IN-MP","Mandla","Phen Wildlife Sanctuary",22.3850556,81.0667222,"03-18-2017","05:42 PM","eBird - Traveling Count",10,1,0.2,NA,2,"","","Phen Sanctuary  Team Bamanimatta  Ravi Dhongle  Dharmendra Pare","Transect","C13","PM",10,"Mix 1.0",0,1,0,"Phen","species",1
"S35364900","Red-wattled Lapwing","Vanellus indicus",3830,2,"IN-MP","Mandla","Phen Wildlife Sanctuary",22.3850556,81.0667222,"03-18-2017","05:42 PM","eBird - Traveling Count",10,1,0.2,NA,2,"","","Phen Sanctuary  Team Bamanimatta  Ravi Dhongle  Dharmendra Pare","Transect","C13","PM",10,"Mix 1.0",0,1,0,"Phen","species",1
"S35306170","Bronze-winged Jacana","Metopidius indicus",3948,1,"IN-MP","Balaghat","22.1929x80.9662 - 18-Mar-2017, 11:51 AM",22.192949,80.966174,"03-18-2017","11:50 AM","eBird - Traveling Count",18,1,0.1,NA,6,"","","At Chilpura Lake ","Water","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323661","Bronze-winged Jacana","Metopidius indicus",3948,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","10:27 AM","eBird - Stationary Count",24,1,NA,NA,5,"","","Jami Talav  Basinkhar  22.11365, 80.74565  +Jungle Cat","Water","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35306353","Common Snipe","Gallinago gallinago",4104,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","02:00 PM","eBird - Stationary Count",70,1,NA,NA,7,"","","Sondar lake, both sides of the road. ","Water","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35387479","Common Snipe","Gallinago gallinago",4104,4,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","06:15 AM","eBird - Traveling Count",180,1,20,NA,3,"","","Driving from mukhi gate to khatia gate","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35306353","Common Sandpiper","Actitis hypoleucos",4139.01,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","02:00 PM","eBird - Stationary Count",70,1,NA,NA,7,"","","Sondar lake, both sides of the road. ","Water","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35387468","Common Sandpiper","Actitis hypoleucos",4139.01,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","07:00 AM","eBird - Casual Observation",0,0,NA,NA,2,"","","While on Jungle Safari","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35346082","Common Sandpiper","Actitis hypoleucos",4139.01,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","09:00 AM","eBird - Casual Observation",0,0,NA,NA,6,"","","species observed during 20th morning jungle safari   Team- Robin C4 & D5 last day jungle Safari","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35364925","Common Sandpiper","Actitis hypoleucos",4139.01,1,"IN-MP","Mandla","Phen Wildlife Sanctuary",22.3421224,81.0729901,"03-19-2017","12:15 PM","eBird - Stationary Count",20,1,NA,NA,2,"","","Phen Wildlife Sanctuary  Team Bamanimatta  Prayut Mandal  Vinod Thakre","General","C13","PM",NA,"",NA,NA,NA,"Phen","species",1
"S35364925","Common Sandpiper","Actitis hypoleucos",4139.01,1,"IN-MP","Mandla","Phen Wildlife Sanctuary",22.3421224,81.0729901,"03-19-2017","12:15 PM","eBird - Stationary Count",20,1,NA,NA,2,"","","Phen Wildlife Sanctuary  Team Bamanimatta  Prayut Mandal  Vinod Thakre","General","C13","PM",NA,"",NA,NA,NA,"Phen","species",1
"S35323357","Green Sandpiper","Tringa ochropus",4139.04,1,"IN-MP","Balaghat","22.2071x80.6965 - 20-Mar-2017, 6:46 AM",22.207055,80.696489,"03-20-2017","06:46 AM","eBird - Casual Observation",NA,0,NA,NA,3,"","","Return trip ","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35366208","Green Sandpiper","Tringa ochropus",4139.04,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","09:51 AM","eBird - Traveling Count",21,1,0.1,NA,6,"","","Sondar camp, including two water holes next to the camp.","Water","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323482","Green Sandpiper","Tringa ochropus",4139.04,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","10:20 AM","eBird - Stationary Count",20,1,NA,NA,4,"","","","General","E4","AM",NA,"",NA,NA,NA,"Kisli","species",1
"S35323589","Green Sandpiper","Tringa ochropus",4139.04,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","12:40 PM","eBird - Stationary Count",15,1,NA,NA,4,"","","22 13 13.36  80 35 48.44  Alt 574meter  Chaffing talab water bodies","General","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35323433","Green Sandpiper","Tringa ochropus",4139.04,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","10:33 AM","eBird - Casual Observation",NA,0,NA,NA,4,"","","On the way back from transect","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35408015","Green Sandpiper","Tringa ochropus",4139.04,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","05:54 PM","eBird - Traveling Count",47,1,0.2,NA,4,"","","Team Baza  Location D4 Sonf 10 - 22.3469380.59498  22.3485580.59486  Mangoose","Transect","D4","PM",10,"",NA,NA,NA,"Sarhi","species",1
"S35323745","Green Sandpiper","Tringa ochropus",4139.04,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","06:17 PM","eBird - Casual Observation",NA,0,NA,NA,5,"","","","General","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35340767","Green Sandpiper","Tringa ochropus",4139.04,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","06:29 AM","eBird - Traveling Count",229,1,5,NA,5,"","","On safari","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35306353","Common Greenshank","Tringa nebularia",4139.13,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","02:00 PM","eBird - Stationary Count",70,1,NA,NA,7,"","","Sondar lake, both sides of the road. ","Water","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35340909","Wood Sandpiper","Tringa glareola",4139.22,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","01:10 PM","eBird - Stationary Count",13,1,NA,NA,5,"","","Waterbody 1km from Jholar forest rest house. GPS 283","Water","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35408020","Wood Sandpiper","Tringa glareola",4139.22,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","07:59 AM","eBird - Traveling Count",25,1,0.2,NA,4,"","","Team Baza  Location D4 Sonf b4 - 22.3359580.59563","Transect","D4","AM",4,"",NA,NA,NA,"Sarhi","species",1
"S35323753","Wood Sandpiper","Tringa glareola",4139.22,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","07:04 AM","eBird - Casual Observation",NA,0,NA,NA,6,"","","","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323870","Tringa sp.","Tringa sp.",4139.24,4,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","12:04 PM","eBird - Stationary Count",8,1,NA,NA,2,"","","Sq and gb. Kisli lake.","Water","","PM",NA,"",NA,NA,NA,NA,"nonspecies",1
"S35408007","Small Buttonquail (Common Buttonquail)","Turnix sylvaticus",4140,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","05:14 PM","eBird - Traveling Count",15,1,0.2,NA,4,"","Flushed thrice until it sat still enough for a good view. Small size, well marked above and dark bill eliminate yellow-legged","Team Baza  Location D4 Sonf 6 - 22.3391580.59565","Transect","D4","PM",6,"",NA,NA,NA,"Sarhi","species",1
"S35408001","buttonquail sp.","Turnix sp.",4205,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","03:54 PM","eBird - Traveling Count",18,1,0.2,NA,4,"","","Team Baza  Location D4 Sonf 2 - 22.3330080.59583","Transect","D4","PM",2,"",NA,NA,NA,"Sarhi","nonspecies",1
"S35387479","River Tern","Sterna aurantia",4511,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","06:15 AM","eBird - Traveling Count",180,1,20,NA,3,"","","Driving from mukhi gate to khatia gate","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323406","Rock Pigeon (Feral Pigeon)","Columba livia",4673,1,"IN-MP","Balaghat","22.2605x80.9773 - 19-Mar-2017, 7:03 AM",22.260519,80.977349,"03-19-2017","07:03 AM","eBird - Traveling Count",13,1,0.2,NA,3,"","","E12 - Transect Name - Rol.","Transect","E12","AM",3,"Sal 1.0",1,0,0,"Supkhar","species",1
"S35407959","Rock Pigeon (Feral Pigeon)","Columba livia",4673,4,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","07:26 AM","eBird - Traveling Count",19,1,0.2,NA,6,"","","Team Baza  Location E5 Kanhari b4 - 22.2803680.64307  Grassland. Langur, Spotted deer.","Transect","E5","AM",4,"Grass 1.0",0,0,1,"Kanha","species",1
"S36143286","Rock Pigeon (Feral Pigeon)","Columba livia (Feral Pigeon)",4686.5,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","02:30 PM","eBird - Stationary Count",150,1,NA,NA,1,"","","Incidental morning of 18 Mar 22°11'4"",80°36'39""(Mukki guest house)","General","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35387479","Rock Pigeon (Feral Pigeon)","Columba livia (Feral Pigeon)",4686.5,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","06:15 AM","eBird - Traveling Count",180,1,20,NA,3,"","","Driving from mukhi gate to khatia gate","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323366","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Balaghat","22.1945x80.7145 - 20-Mar-2017, 6:30 AM",22.194468,80.714455,"03-20-2017","06:30 AM","eBird - Casual Observation",NA,0,NA,NA,3,"","","Large Dove pic 6.34 am ","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323626","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Balaghat","Baisaghat barrier to bhamni dadar- 22.204x80.697 - 20 Mar 2017 06:39",22.2036848,80.6965687,"03-20-2017","06:39 AM","eBird - Traveling Count",90,1,10,NA,6,"","","","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35340898","Oriental Turtle-Dove","Streptopelia orientalis",4818,2,"IN-MP","Balaghat","IN - 22.165x80.831 - Mar 20, 2017 9:52 AM",22.1653433,80.8311617,"03-18-2017","06:44 AM","eBird - Traveling Count",15,1,0.2,NA,5,"","","G9 Advar segment 4","Transect","G9","AM",4,"",NA,NA,NA,"Bhaisanghat","species",1
"S35323664","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Balaghat","IN-Madhya Pradesh-Chakarwaha - 22.179x80.933 - 20-Mar-2017 9:19 AM",22.179225,80.9334,"03-18-2017","05:45 PM","eBird - Stationary Count",15,1,NA,NA,4,"","","Kanha Bird Survey-2017","Transect","G11","PM",8,"Mix 1.0",0,1,0,"Supkhar","species",1
"S35350579","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Balaghat","Kanha_IN-Madhya Pradesh-Bilaikhar-Unnamed Road - 22.235x80.84",22.2353938,80.8404041,"03-20-2017","07:24 AM","eBird - Traveling Count",135,1,55,NA,4,"","","Photographs by Mr.Jitesh Pande  Bamni dadar.....Top highest most place of kanha    leaf bird","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35306230","Oriental Turtle-Dove","Streptopelia orientalis",4818,2,"IN-MP","Mandla","IN-Madhya Pradesh-Kanha National Park - 22.3066x80.5215 - 18-Mar-2017, 6:40 PM",22.306559,80.521495,"03-18-2017","06:40 AM","eBird - Traveling Count",35,1,0.2,NA,5,"","","Latitude: 22.340165  Longitude: 80.659223    End  Lat: 22.338712  Long: 80.65932    Habitat type: Thick bamboo forest    C5 - segment1","Transect","C5","AM",1,"Mix 1.0",0,1,0,"Sarhi","species",1
"S35306232","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","IN-Madhya Pradesh-Kanha National Park - 22.3066x80.5215 - 18-Mar-2017, 6:40 PM",22.306559,80.521495,"03-18-2017","07:15 AM","eBird - Traveling Count",40,1,0.2,NA,5,"","","End   Lat: 22.336718  Long: 80.75937    Habitat type: Thick bamboo forest and fruiting trees    Quite a few birds were observed on these fruiting trees     C5 - segment2","Transect","C5","AM",2,"Mix 1.0",0,1,0,"Sarhi","species",1
"S35306256","Oriental Turtle-Dove","Streptopelia orientalis",4818,2,"IN-MP","Mandla","IN-Madhya Pradesh-Kanha National Park - 22.3066x80.5215 - 18-Mar-2017, 6:40 PM",22.306559,80.521495,"03-18-2017","04:49 PM","eBird - Traveling Count",17,1,0.2,NA,5,"","","End  Lat: 22.335611  Long: 80.659440    Habitat type: Thick bamboo forest    C5 - segment3","Transect","C5","PM",3,"Mix 1.0",0,1,0,"Sarhi","species",1
"S35323558","Oriental Turtle-Dove","Streptopelia orientalis",4818,3,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:29 AM","eBird - Traveling Count",22,1,0.2,NA,4,"","","Grid G6  TR-01, Segment-02  22.1640079, 80.67710  Meadow-90% Sal-10%","Transect","G6","AM",2,"Sal 0.1, Grass 0.9",0.1,0,0.9,"Mukki","species",1
"S35344514","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:45 AM","eBird - Traveling Count",15,1,0.2,NA,6,"","","Team- Robin Parsatola D5 Segment 1  Lattitude: 22.303944  Longitude: 80.649477  Observer : Ravi Sharma,R.K Dube,Saurabh Bhatanagar,Abhay Kochar,Vilas Mahajan,Sujata Talegaovakar","Transect","D5","AM",1,"Mix 1.0",0,1,0,"Kanha","species",1
"S35323466","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:45 AM","eBird - Traveling Count",15,1,0.2,NA,5,"","","22.27815/80.561213 starting point of Transect--point. List 1","Transect","E4","AM",1,"Sal 1.0",1,0,0,"Kisli","species",1
"S35323560","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","07:05 AM","eBird - Traveling Count",21,1,0.2,NA,4,"","","Grid G6  TR-01, Segment-04  22.16819, 80.67781  Sal-30% Meadow-70%","Transect","G6","AM",4,"Sal 0.3, Grass 0.7",0.3,0,0.7,"Mukki","species",1
"S36325847","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","07:05 AM","eBird - Traveling Count",30,1,0.2,NA,5,"","","22.28322 / 80.563561 200 metre to 400meter point","Transect","E4","AM",2,"Sal 1.0",1,0,0,"Kisli","species",1
"S35323463","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","07:36 AM","eBird - Traveling Count",24,1,0.2,NA,5,"","","22.28390/80.56504  400 meter start point","Transect","E4","AM",3,"Sal 1.0",1,0,0,"Kisli","species",1
"S35508348","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","07:49 AM","eBird - Traveling Count",22,1,0.2,NA,5,"","Heard","Segment 5 of transect mundidadar in grid E6.  End of segment at 22.294645  80.672731","Transect","E6","AM",5,"Mix 1.0",0,1,0,"Kanha","species",1
"S35344499","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","08:49 AM","eBird - Traveling Count",10,1,0.2,NA,6,"","","Team Name- Robin Parsatola D5 Segment 9  Starting  Lattitude: 22.301887  Longitude:80.63222","Transect","D5","AM",9,"Mix 1.0",0,1,0,"Kanha","species",1
"S35366210","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","09:13 AM","eBird - Traveling Count",18,1,0.3,NA,6,"NE Nest with Eggs","","Walking back from end of transect to road.","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323569","Oriental Turtle-Dove","Streptopelia orientalis",4818,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","09:55 AM","eBird - Stationary Count",35,1,NA,NA,5,"","","Grid G6  Waterbody survey  22.16597, 80.67883","Water","G6","AM",NA,"",NA,NA,NA,"Mukki","species",1
"S35323577","Oriental Turtle-Dove","Streptopelia orientalis",4818,4,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","03:41 PM","eBird - Traveling Count",8,1,0.2,NA,6,"","","Grid G6  TR-01, Segment-03  22.16661, 80.67750  Sal-20% Meadow-80%","Transect","G6","PM",3,"Sal 0.2, Grass 0.8",0.2,0,0.8,"Mukki","species",1
"S35323581","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","03:51 PM","eBird - Traveling Count",13,1,0.2,NA,6,"","","Grid G6  TR-01, Segment-04  22.16819, 80.67781  Sal-30% Meadow-70%","Transect","G6","PM",4,"Sal 0.3, Grass 0.7",0.3,0,0.7,"Mukki","species",1
"S35387475","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","03:59 PM","eBird - Traveling Count",15,1,0.2,NA,6,"","","22131777    80554080  N 22°13°17.77'    E 80°55°40.80'   Name Of Range : SUPKHAR  Name of Grid : 07 / F11   FG : JOKPANI  PLACE : JAITPURI ( ACCOMADATION / 2, VEHICLE / BULERO 09)  PERSONS : (1)LAKSHMIKANT RAJARAM NEVE, (2)Prabhakar.S.JOSHI,(3)JITESH PANDE  (4)BAUDH SHRAVAN KULIHA(FOREST GUARD),(5)HARLAL(CAMP LABOUR),(6)DAYAL(CAMP LABOUR)  Fourth Lap of 200M....15.59 To 16.22 &#61; 23MIN  Continous Updation in process ref to Audio Calls & photographs.  Most of the photographs shoot by our Mr.Jitesh Pande","Transect","F11","PM",4,"Mix 1.0",0,1,0,"Supkhar","species",1
"S35323585","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","04:05 PM","eBird - Traveling Count",13,1,0.2,NA,6,"","","Grid G6  TR-01, Segment-05  22.17009, 80.67803  Sal-100% (with undergrowth)","Transect","G6","PM",5,"Sal 1.0",1,0,0,"Mukki","species",1
"S35323590","Oriental Turtle-Dove","Streptopelia orientalis",4818,4,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","04:18 PM","eBird - Traveling Count",13,1,0.2,NA,6,"","","Grid G6  TR-01, Segment-06  22.17195, 80.67845  Sal-100%","Transect","G6","PM",6,"Sal 1.0",1,0,0,"Mukki","species",1
"S35323592","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","04:31 PM","eBird - Traveling Count",13,1,0.2,NA,6,"","","Grid G6  TR-01, Segment-07  22.17371, 80.67885  Sal-100%","Transect","G6","PM",7,"Sal 1.0",1,0,0,"Mukki","species",1
"S35323600","Oriental Turtle-Dove","Streptopelia orientalis",4818,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","05:03 PM","eBird - Traveling Count",12,1,0.2,NA,6,"","","Grid G6  TR-01, Segment-09  22.17726, 80.67953  Sal-100%,","Transect","G6","PM",9,"Sal 1.0",1,0,0,"Mukki","species",1
"S35323603","Oriental Turtle-Dove","Streptopelia orientalis",4818,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","05:16 PM","eBird - Traveling Count",16,1,0.2,NA,6,"","","Grid G6  TR-01, Segment-10  22.17910, 80.67990  22.18080, 80.68012  Sal-100%","Transect","G6","PM",10,"Sal 1.0",1,0,0,"Mukki","species",1
"S35323502","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","05:23 PM","eBird - Traveling Count",7,1,0.2,NA,5,"","","22.28840/80.57352","Transect","E4","PM",7,"Sal 1.0",1,0,0,"Kisli","species",1
"S35366195","Oriental Turtle-Dove","Streptopelia orientalis",4818,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","05:46 PM","eBird - Traveling Count",10,1,0.3,NA,6,"NE Nest with Eggs","","End of transect to road.","General","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35323508","Oriental Turtle-Dove","Streptopelia orientalis",4818,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","05:39 AM","eBird - Traveling Count",91,1,1,NA,5,"","","Soneghat Beat point to Transect--point start","General","E3","AM",NA,"",NA,NA,NA,"Kisli","species",1
"S35366192","Oriental Turtle-Dove","Streptopelia orientalis",4818,7,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","06:10 AM","eBird - Traveling Count",20,1,0.2,NA,4,"","","Khatia beat camp to transect.","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35340866","Oriental Turtle-Dove","Streptopelia orientalis",4818,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","06:28 AM","eBird - Traveling Count",15,1,0.2,NA,5,"","","G8 Advar segment 1","Transect","G8","AM",1,"",NA,NA,NA,"Bhaisanghat","species",1
"S35366191","Oriental Turtle-Dove","Streptopelia orientalis",4818,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","06:36 AM","eBird - Traveling Count",17,1,0.2,NA,4,"","","D3, Khatia transect, Seg 1. 100% mixed forest, 444m alt  Start: 22.319311, 80.52712    <a href=""https://www.flickr.com/photos/87572701@N07/32787038333/in/dateposted-public/"" title=""DSCN5952 Khatia transect, Seg 1""><img src=""https://c1.staticflickr.com/4/3931/32787038333_ea02cb599a_z.jpg"" alt=""DSCN5952 Khatia transect, Seg 1"" /></a>","Transect","D3","AM",1,"Mix 1.0",0,1,0,"Kisli","species",1
